Total cycle count,Time,Extension,Load
,(s),(mm),(N)
"0.00000","0.62500","2.98235","143.33897"
"0.50000","0.62900","3.00234","144.07858"
"0.50000","0.63000","3.00733","144.26324"
"0.50000","0.63500","3.03232","145.19170"
"0.50000","0.64000","3.05720","146.04129"
"0.50000","0.64500","3.08133","146.64221"
"0.50000","0.65000","3.10319","146.96642"
"0.50000","0.65500","3.12070","146.77173"
"0.50000","0.66000","3.13196","146.05684"
"0.50000","0.66500","3.13601","144.86536"
"0.50000","0.67000","3.13311","143.16211"
"0.50000","0.67500","3.12434","141.03194"
"0.50000","0.68000","3.11089","138.56453"
"0.50000","0.68500","3.09387","135.87038"
"0.50000","0.69000","3.07412","133.04897"
"0.50000","0.69500","3.05226","130.13405"
"0.50000","0.70000","3.02879","127.19817"
"0.50000","0.70500","3.00406","124.22679"
"0.50000","0.71000","2.97841","121.28758"
"0.50000","0.71500","2.95211","118.39697"
"0.50000","0.72000","2.92543","115.58562"
"0.50000","0.72500","2.89857","112.88184"
"0.50000","0.73000","2.87171","110.26351"
"0.50000","0.73500","2.84498","107.73914"
"0.50000","0.74000","2.81845","105.31161"
"0.50000","0.74500","2.79215","102.95366"
"0.50000","0.75000","2.76610","100.67659"
"0.50000","0.75500","2.74026","98.47676"
"0.50000","0.76000","2.71462","96.33614"
"0.50000","0.76500","2.68915","94.27804"
"0.50000","0.77000","2.66380","92.28537"
"0.50000","0.77500","2.63854","90.37087"
"0.50000","0.78000","2.61336","88.51543"
"0.50000","0.78500","2.58823","86.70355"
"0.50000","0.79000","2.56314","84.94753"
"0.50000","0.79500","2.53806","83.21078"
"0.50000","0.80000","2.51300","81.50928"
"0.50000","0.80500","2.48795","79.82133"
"0.50000","0.81000","2.46291","78.14529"
"0.50000","0.81500","2.43786","76.49706"
"0.50000","0.82000","2.41281","74.86718"
"0.50000","0.82500","2.38776","73.27706"
"0.50000","0.83000","2.36270","71.72745"
"0.50000","0.83500","2.33763","70.20610"
"0.50000","0.84000","2.31258","68.72965"
"0.50000","0.84500","2.28753","67.27556"
"0.50000","0.85000","2.26249","65.84975"
"0.50000","0.85500","2.23746","64.45015"
"0.50000","0.86000","2.21243","63.05461"
"0.50000","0.86500","2.18740","61.68410"
"0.50000","0.87000","2.16236","60.31901"
"0.50000","0.87500","2.13733","58.97241"
"0.50000","0.88000","2.11229","57.65692"
"0.50000","0.88500","2.08726","56.35596"
"0.50000","0.89000","2.06223","55.08772"
"0.50000","0.89500","2.03721","53.84062"
"0.50000","0.90000","2.01219","52.62168"
"0.50000","0.90500","1.98717","51.42666"
"0.50000","0.91000","1.96214","50.23801"
"0.50000","0.91500","1.93711","49.07531"
"0.50000","0.92000","1.91209","47.92997"
"0.50000","0.92500","1.88707","46.80117"
"0.50000","0.93000","1.86206","45.69074"
"0.50000","0.93500","1.83706","44.57328"
"0.50000","0.94000","1.81206","43.47308"
"0.50000","0.94500","1.78707","42.38015"
"0.50000","0.95000","1.76208","41.30165"
"0.50000","0.95500","1.73710","40.25771"
"0.50000","0.96000","1.71211","39.21981"
"0.50000","0.96500","1.68712","38.20784"
"0.50000","0.97000","1.66213","37.20319"
"0.50000","0.97500","1.63713","36.21256"
"0.50000","0.98000","1.61212","35.24608"
"0.50000","0.98500","1.58710","34.27329"
"0.50000","0.99000","1.56209","33.31116"
"0.50000","0.99500","1.53708","32.35229"
"0.50000","1.00000","1.51208","31.39425"
"0.50000","1.00500","1.48708","30.45362"
